#TYPE Selected.System.Management.Automation.PSCustomObject
"Account";"Voornaam";"Naam";"OU"
"RobertH";"Robert";"Hasselbanks";"Directie"
"LucP";"Luc";"Pasteels";"Directie Administratie"
"JeroenD";"Jeroen";"De Wisser";"Administratie"
"LydiaP";"Lydia";"Protut";"Directie Automatisering"
"FienS";"Fien";"Scholiers";"Automatisering"
"AnitaB";"Anita";"Backx";"Automatisering"
"HanzR";"Hanz";"Rimmer";"Automatisering"
"SammyT";"Sammy";"Tanghe";"Automatisering"
"BertL";"Bert";"Laplasse";"Directie Productie"
"BertB";"Bert";"Beks";"Productie"
"LindaH";"Linda";"Hombroeckx";"Productie"
"LiesjeW";"Liesje";"Walschaerts";"Productie"
"MichelD";"Michel";"Drets";"Directie Staf"
"FrankieL";"Frankie";"Loosveld";"Staf"
"GuidoP";"Guido";"Pallemans";"Staf"
"AlainV";"Alain";"Vandam";"Staf"
"TomC";"Tom";"Cordemans";"Staf"
